    Marxism,"Marxism is a political ideology that is derived from the ideas of Karl Marx. The three primary aspects of Marxism are the dialectical and materialist concept of history, the critique of capitalism and the Advocacy of proletarian revolution.",http://en.wikipedia.org/wiki/Marxism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young Bengal,"The Young Bengal movement was a movement by patriotic and passionate young Bengalis that strove to get get rid of British Rule. This group comprised primarily of of radical Bengali free thinkers emerging from Hindu College, Calcutta in the early 19th century. These individuals were also called Derozians after their teacher at the Hindu College, Henry Louis Vivian Derozio. This movement left a distinct mark in Calcutta society in the 1830s and 1840s.",http://en.wikipedia.org/wiki/Young_Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxbridge,Oxbridge is the collaboration or the blend between University of Oxford and the University of Cambridge in England. This word could be used as a noun referring to either or both universities or as an adjective describing them or their students.,http://en.wikipedia.org/wiki/Oxbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
social history,"Social History could be divided into two branches, the new social history and the old social history. The main difference between the two is that the former concentrates more on the politics and diplomacy of events where as the latter concentrated on the topics and people without a central theme. This transition from old social history to new social history took place in the 1960�??s. Moreover, since the 1990�??s social history is now beginning to focus on cultural history, that is the importance of language, beliefs and assumptions.",and the focus on relations between social group,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radicalism,"Radicalism is the term that is used to describe the political ideology that involves  supporting or seeking political reforms that include extreme and dramatic changes to the social order. Radicalism could be applied toward the liberals, the right, the left or any other political ideology.",or revolutionary politic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communism,"Communism is considered to be a branch of socialism. It is a social movement and a policy party, and is associated with nation-states such as the USSR, China and Vietnam. Communism envisions a utopia in which classes are abolished and property is controlled. In it�??s statements, it professes to provide an alternative to the problems of capitalism, imperialism and nationalism.",http://en.wikipedia.org/wiki/Communism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gandhian politics,"Gandhian Politics is the political methods and the political resources that Mahatma Gandhi used and tapped to free India from colonial rule. He worked with the existing political structures but managed to make his contribution unique. His politics are renowned worldwide. Some of the most famous of Ganhi�??s politics are, �??satyagraha�?? or the path of truth, �??ahimsa�?? or non-violence and self reliance.",http://en.wikipedia.org/wiki/Mohandas_Karamchand_Gandhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mughal history,"The Moghuls were an Islamic imperial power that ruled a large portion of the Indian subcontinent. The rule began in 1526 with the descendants of the Timurid dynasty. Babur was the first ruler of the Mogul empire. The peak of Mughal rule in India was in 1700 when they controlled most of the Indian sub-continent extending from Bengal in the East to Baluchistan in the West, Kashmir in the North and Kaveri in the South. The rule of the Mugul empire came to an end in the 19th century due to Hindu uprisings and the power of the British Raj. The last Mughal king was Humayun.",http://en.wikipedia.org/wiki/Mughal_Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,"The Indian National Congress (INC) is one of the most prominent political parties in India. This party was founded in 1885 by some of the leading political figures of the time. The INC played a major role in the Indian Independence Movement against British Rule. During the freedom movement the INC had 15 million members and over 70 million participants nation wide. Moreover, even after independence in 1947, it remained the main political party in Indian politics, lead by the Nehru-Gandhi family. It is currently the ruling party in the country.",http://en.wikipedia.org/wiki/Indian_National_Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cripps Mission,"The Cripps mission was an attempt by the British government to gain the cooperation and support of India for their efforts in World War 2. The leader of this mission was  Sir Stafford Cripps, a senior left-wing politician and government minister in the War Cabinet of Prime Minister Winston Churchill.",http://en.wikipedia.org/wiki/Cripps%27_mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,
