Tapan Raychauhuri,"Born in Barsial, presen-day Bangladesh. Retired reader of South Asian History, St. Anthony",,,,,,,,,,,,,,,,,,,,,,
Partha Mitter,"(b. 1938, Kolkata, present-day  West Bengal).Â  Attended Presidency  College, Kolkata; Retired reader in Art History, Sussex University. Interview  recorded June 18, 2006.",,,,,,,,,,,,,,,,,,,,,,
Meghnad Saha,Indian astrophysicist,http://en.wikipedia.org/wiki/Meghnad_Saha,,,,,,,,,,,,,,,,,,,,,
Irene Joliot-Curie,,,,,,,,,,,,,,,,,,,,,,,
Advani,"L.K. Advani is an Indian politician.  Born in 1927, he joined the RSS in 1942.  He was deputy prime minister fro 2002 to 2004. Advani is a leader of the Hindu nationalist Bharatiya Janata Party.",,,,,,,,,,,,,,,,,,,,,,
Ali Akbar,"Ali Akbar Khan was a Hindutani Classical musician who was born in April 14, 1922 in Comilla East Bengal. He was especially famous for his skill in playing the sarod. He was an entrepreneurial music figure.  He established music schools in Calcutta, Switzerland and California, which helped popularized Indian Classical music in the west. He died on June 18, 2009.",,,,,,,,,,,,,,,,,,,,,,
Ahmed Ali,"Ahmed Ali was a famous Pakistani novelist diplomat and scholar. He was born in 1910 in New Dehli, India. He was educated at the Aligarh and Lucknow universities and even taught at many leading Indian universities. He is credited for having written one of the greatest novels about New Dehli. He died on January 14, 1994.",,,,,,,,,,,,,,,,,,,,,,
Shahid Amin,Shahid Amin is a Professor of History at the University of Dehli. He is an eminent historian of India.,,,,,,,,,,,,,,,,,,,,,,
Mulk Raj Anand,"Mulk Raj Anand was a famous Indian writer in English. He was born on December 12, 1905 in Peshawar India. He pursued his higher education in England and widely.  Much of his work which is focused on the poorer strata of Indian society. He was with anti-colonial politics and supported independence movements not only in India but also in other countries. He died in Pune on September 28, 2004 at the age of 96.",,,,,,,,,,,,,,,,,,,,,,
Saartjie Baartman,Saartjie Baartman was born in 1789 in Easter Cape in the Dutch Empire. She was a famous KhoiKhoi woman who was exhibited at freak show attractions in 19th century Europe.,,,,,,,,,,,,,,,,,,,,,,
A.L. Basham,"A noted historian and indologist, and one of the major influences in the study of South Asia at Oxford University from the 1950s through the 1980s.",,,,,,,,,,,,,,,,,,,,,,
Homi Bhabha,"Homi Bhaba is a famous professor of English and American literature and language and humanities at Harvard University. He was born in Mumbai, India in 1949. He is well known because of his work in postcolonial studies.",,,,,,,,,,,,,,,,,,,,,,
Jagdish Bhagvati,A renowned economist and currently a professor as the School of International and Public Affairs at Columbia university.,,,,,,,,,,,,,,,,,,,,,,
Dipesh Chakrabarty,"Well known Bengali historian who specializes in postcolonial theory and subaltern studies. He was educated at Presidency College and Indian Institute for Management in Kolkata, before finishing his PhD at the Australian National University. He is currently a professor at the University of Chicago.",,,,,,,,,,,,,,,,,,,,,,
Suniti Chaterji,A Bengali linguist and educationist.,,,,,,,,,,,,,,,,,,,,,,
Partha Chatterjee,A political scientist and historians who specializes in the study of Bengal and South Asia.  Chatterjee was a leading member of the Subaltern Studies Collective and has made significant contributions to postcolonial theory. He received his degrees from the Presidency College and the University of Rochester.,,,,,,,,,,,,,,,,,,,,,,
Nirode Chaudhuri,"One of the most influential Bengali authors writing in English in the twentieth century.  He is celelbrated for his ""Autobiography of an Unknown Indian"".  Chaudhuri served as the secretary to Subhas Chandra Bose.",,,,,,,,,,,,,,,,,,,,,,
Gordon Childe,,A philologist who later specialized in archaeology. He was famous for his Marxist study of archaeology. Childe was a major figure among academics of the British Left.,,,,,,,,,,,,,,,,,,,,,
Auguste Comte,"A world renowned nineteenth century French philosopher.  His philosophy of ""Positivism"", with its emphasis on science and progress towards greater social rationality, had a strong reception in Calcutta in the late nineteenth century.",,,,,,,,,,,,,,,,,,,,,,
Sudhindranath Datta,,,,,,,,,,,,,,,,,,,,,,,
Bhupen Datta,"Younger brother of Vivekananda.  A Marxist intellectual, as well as a global traveler in the period of Indian anti-colonial struggle.",,,,,,,,,,,,,,,,,,,,,,
Amlan Datta,Leading economist and political philosopher from Kolkata.  Datta served as Vice Chancellor of Viswa Bharati University.,,,,,,,,,,,,,,,,,,,,,,
Karl Deutsch,"A political scientist, born in Czechoslovakia and of German descent.  Deutsch made important contributions to communication theory, system theory and cybernetics.  He tought at Harvard University.",,,,,,,,,,,,,,,,,,,,,,
Mark Elvin,A scholar of Chinese History at Australian National University,,,,,,,,,,,,,,,,,,,,,,
Erik Erikson,Influential development psychologist known for his theories of the lie cycle and identuty crisis.,,,,,,,,,,,,,,,,,,,,,,
Michael Foucault,"French philosopher, sociologist and historian who laid the foundation for new approaches to social thought from the 1960s until today.",,,,,,,,,,,,,,,,,,,,,,
Sarvepalli Gopal,"An Indian historian who graduated from Presidency College and finished his PhD at Oxford University.  He was Reader in Indian History at St. Athonys College, Oxford before joining the newly established Jawaharlal Nehru University in 1969.",,,,,,,,,,,,,,,,,,,,,,
Ranajit Guha,"Founder of Subaltern Studies, Ranajit Guha is one of the most influential modern historians.",,,,,,,,,,,,,,,,,,,,,,
Irfan Habib,"Eminent Indian Marxist historian, who has published on medieval and early modern India, and Indo-Islamic society and civilization.",,,,,,,,,,,,,,,,,,,,,,
Musirul Hassan,"Prodigious scholar of Indo-Islamic studies, and past vice-chancellor of Jamia Milia Islamia University in Delhi.",,,,,,,,,,,,,,,,,,,,,,
Christopher Hill,,"An influential British Marxist historian, who focused on early modern English history.  He was a major contributor to the History Workshop group.",,,,,,,,,,,,,,,,,,,,,
Eric Hobsbawm,"Eminent British Marxist historian who was born in Egypt and grew up in Vienna.  He has provided foundational perspectives on British History, European History, nationalist movements, and World History.",,,,,,,,,,,,,,,,,,,,,,
Sir William Jones,"One of the founders of Brisith colonial Oriental scholarship.  As a philologist, Jones studied ancient Sanskrit texts both in pursuit of the archaic glory of the Orient, but also in order to derive codes of law to adapt British instuttions for the colonial project.",,,,,,,,,,,,,,,,,,,,,,
Immanuel Kant,Philosopher of the German Englightenment.,,,,,,,,,,,,,,,,,,,,,,
David Kopf,An American scholar of South Asian history.  Kopf made important contributions to the study of the intellectual history of Bengal in the nineteenth century.,,,,,,,,,,,,,,,,,,,,,,
Narendra Modi,Chief Minister of Gujarat and Bharatiya Janata Party representative.,,,,,,,,,,,,,,,,,,,,,,
Gyanendra Pandey,,,,,,,,,,,,,,,,,,,,,,,
Om Prakash,"Teaches economic history at the Delhi School of Economics.  Prakash's work has dealt on East India Company trade and finance, as well as Indian merchants in the early modern period.",,,,,,,,,,,,,,,,,,,,,,
Vijendra Kasturi Ranga Varadaraja Rao,"Prominent Indian economist, responsible for founding the Delhi School of Economics.",,,,,,,,,,,,,,,,,,,,,,
Rajat Ray,"Noted historian of South Asian history in the nineteeth and twentieth centuries, Ray has contributed to the study of the ""bazaar"", economic relations across the Indian Ocean, as well as the nationalist struggle in Bengal.  He is Vice Chancellor of Viswa Bharati University, Shantiniketan.",,,,,,,,,,,,,,,,,,,,,,
Hem Chandra Raychaudhuri,"Indian historian of the acient period.  He taught at Presidency College, the University of Calcutta as well as the University of Dacca.",,,,,,,,,,,,,,,,,,,,,,
M.N. Roy,Leading Indian Marxist philosopher active from the 1920s until the decade after Indian independence.,,,,,,,,,,,,,,,,,,,,,,
Raja Ram Mohan Roy,"One of the first modernizers in Bengal, credited with the establishment of a new religious order, the Brahmo Samaj, the the creation of a new modern sensibility in literature, philosophy and social thought among the Bengali bhadralok.",,,,,,,,,,,,,,,,,,,,,,
Bertrand Russell,"British mathemtician, philosopher, and public intellectual.  Bertrand Russell was one of the most influential commentators on the challenges to democratic society from the 1920s through the 1950s.",,,,,,,,,,,,,,,,,,,,,,
Said,"An influential cultural critic, philosopher, and public intellectual, Said is most famous for his publication of the book ""Orientalism"" in 1978.",,,,,,,,,,,,,,,,,,,,,,
Jadunath Sarkar,"Foundational figure in South Asian history writing, Sarkar pioneered the study of Mughal History.  He taught at the University of Calcutta, Dhaka University and Madras University, among others.  He is considered one of the most influential early twentieth century Indian scholars, perhaps alongside D.D. Kosambi.",,,,,,,,,,,,,,,,,,,,,,
Susobhan Sarkar,"Perhaps the most influential intellectual of the Calcutta Left in the 1930s and 1940s.  Sarkar was also an eminent professor of History at Presidency College and the teacher of a loose ""school"" of young Bengali historians.",,,,,,,,,,,,,,,,,,,,,,
Amartya Sen,"Renowned economist and Nobel Laureate.  Sen is famous for his development of rational choice theory, and his contributions to Development Economics and Philosophy.  He teaches at Harvard University.",,,,,,,,,,,,,,,,,,,,,,
Ravi Shankar,"World famous sitar player, originally from Kolkata.",,,,,,,,,,,,,,,,,,,,,,
Manmohan Singh,"The fourteenth prime minister of India.  Singh is an economist, who, in his position as Finance Minister in 1991, began a process of major economic reforms.",,,,,,,,,,,,,,,,,,,,,,
Quentin Skinner,"A political scientist and philosopher, celebrated for his application of the ""linguistic turn"" to the study of political discourse.  Skinner teaches at the University of London.",,,,,,,,,,,,,,,,,,,,,,
Gayatri Spivak,"An important figure in the establishment of postcolonial studies in Western academia.  She is a literary critic, as well as the translator of Derrida's Of Grammatology.",,,,,,,,,,,,,,,,,,,,,,
M.N. Srinivas,"Considered the founder of Indian sociology.  His work focused on village communities, the caste system, social status and patterns of stratification.",,,,,,,,,,,,,,,,,,,,,,
Keith Thomas,"A leading light in the rise of cultural history in the 1970s and 1980s, Thomas combined interests in anthropology and literature, with his study of history.",,,,,,,,,,,,,,,,,,,,,,
Daniel Thorner,An American-born economist who made contributions to the study of the agricultural economy.  He is significant for bringing peasants into the study of South Asian history.,,,,,,,,,,,,,,,,,,,,,,
Arnold J. Toynbee,Iconic British historian celebrated for his twelve volume work on the rise and fall of civilizations.,,,,,,,,,,,,,,,,,,,,,,
Kazi Abdul Wadud,"Eminent Bengali writer, educationist and intellectual.  Wadud taught at Presidency College as well as Dhaka Intermediate College.  He completed a dictionary of Bangla words derived from Arabic, Persia and Turkish in 1953.",,,,,,,,,,,,,,,,,,,,,,
Theodore Zeldin,"A contributor to philosophy, sociology and history, Zeldin made signficant advances in the study of the scholarly study of sensibilities, tastes and emotions.",,,,,,,,,,,,,,,,,,,,,,
Indira Gandhi,"Prime Minister of the Republic of India for three consecutive terms 1966 to 1977, and again from 1980 to 1984.  She was the daughter of Jawaharlal Nehru.",,,,,,,,,,,,,,,,,,,,,,
David Hume,Scottisch philosopher and representative of the Empiricist school,,,,,,,,,,,,,,,,,,,,,,
Krishna Bose,"Krishna Bose is an eminent writer, educationist and parliamentarian.  She has been a Member of Parliament in India in the 11th, 12th and 13th (1996-2004) Lok Sabhas. During the term of the 13th Lok Sabha, she served as Chairperson of the Parliamentary Standing Committee on External Affairs in India.",http://www.krishnabose.com,,,,,,,,,,,,,,,,,,,,,
Enseng Ho,Professor of Cultural Anthropology and History at Duke University,http://culturalanthropology.duke.edu/people?Gurl=%2Faas%2FCA&Uil=10480&subpage=profile,,,,,,,,,,,,,,,,,,,,,
Ayesha Jalal,Professor of History at Tufts University,http://ase.tufts.edu/history/faculty/jalal.asp,,,,,,,,,,,,,,,,,,,,,
Vali Nasr,"Professor of International Politics at The Fletcher School, Tufts University",http://fletcher.tufts.edu/Fletcher-Directory/Find-Fletcher-People/Faculty%20Profile?personkey=A38C7A71-DA25-4103-BF7C-B987BA97C8B6,,,,,,,,,,,,,,,,,,,,,
Kris Manjapra,Assistant Professor of History at Tufts University,http://ase.tufts.edu/history/faculty/manjapra.asp,,,,,,,,,,,,,,,,,,,,,
Adam,the first man in Biblical and Quranic traditions,http://en.wikipedia.org/wiki/Adam,,,,,,,,,,,,,,,,,,,,,
Eve,the first woman in Biblical and Quranic traditions,http://en.wikipedia.org/wiki/Eve,,,,,,,,,,,,,,,,,,,,,
Mohammad bin Abdullah,the Prophet of Islam,http://en.wikipedia.org/wiki/Muhammad,,,,,,,,,,,,,,,,,,,,,
Fatima bint Mohammad,"daughter of Muhammad, the Prophet of Islam",http://en.wikipedia.org/wiki/Fatima_bint_Muhammad,,,,,,,,,,,,,,,,,,,,,
Hassan bin Ali,grandson of Muhammad and son of Ali,http://en.wikipedia.org/wiki/Hasan_ibn_Ali,,,,,,,,,,,,,,,,,,,,,
Hussain bin Ali,grandson of Muhammad and son of Ali; killed by the Umayyads in Battle of Karbala,http://en.wikipedia.org/wiki/Hussein_ibn_Ali,,,,,,,,,,,,,,,,,,,,,
Ali bin Abu Talib,"nephew and son-in-law of Muhammad, he was also the fourth caliph of Islam",http://en.wikipedia.org/wiki/Ali_bin_Abi_Talib,,,,,,,,,,,,,,,,,,,,,
Ayesha bint Abu Bakr,a wife of Muhammad and also daughter of the first caliph Abu Bakr,http://en.wikipedia.org/wiki/Aisha_bint_Abu_Bakr,,,,,,,,,,,,,,,,,,,,,
Nisaruddin Mohammad Humayun,the second Mughal emperor (reign 1530-1540),http://en.wikipedia.org/wiki/Humayun,,,,,,,,,,,,,,,,,,,,,
Nizamuddin Auliya,a Sufi saint from the Chishti order who died in Delhi in 1325,http://en.wikipedia.org/wiki/Nizamuddin_Auliya,,,,,,,,,,,,,,,,,,,,,
Sugata Bose,Professor of History at Harvard University,http://history.fas.harvard.edu/people/faculty/bose.php,,,,,,,,,,,,,,,,,,,,,
Saladin,a Muslim ruler from the Middle Ages famous for recapturing Jerusalem from Christian crusaders in 1187; he ruled over Syria and Egypt (1174-1193),http://en.wikipedia.org/wiki/Saladin,,,,,,,,,,,,,,,,,,,,,
Sarah Pinto,Associate Professor of Anthropology at Tufts University,http://ase.tufts.edu/anthropology/Pinto.html,,,,,,,,,,,,,,,,,,,,,
Elizabeth Lambourn,Reader in South Asian and Indian Ocean Studies at De Montfort University,http://www.dmu.ac.uk/research/aad/research-staff-profiles/elizabeth-lambourn.jsp,,,,,,,,,,,,,,,,,,,,,
Marshall McLuhan,"a Canadian scholar known for coining the term ""the global village""",http://en.wikipedia.org/wiki/Marshall_McLuhan,,,,,,,,,,,,,,,,,,,,,
Susilo Yudhoyono,began his second term as President of Indonesia in 2009,http://en.wikipedia.org/wiki/Yudhoyono,,,,,,,,,,,,,,,,,,,,,
Suharto,served as Indonesia's president from 1968 to 1998,http://en.wikipedia.org/wiki/Suharto,,,,,,,,,,,,,,,,,,,,,
Khadija bint Khuwaylid,"the first wife of Muhammad, the Prophet of Islam",http://en.wikipedia.org/wiki/Khadijah_bint_Khuwaylid,,,,,,,,,,,,,,,,,,,,,
Seema Alavi,"Professor of History at Jamia Millia Islamia, Delhi",http://www.radcliffe.edu/fellowships/fellows_2010salavi.aspx,,,,,,,,,,,,,,,,,,,,,
Mir Taqi Mir,an important Urdu poet of the eighteenth century,http://en.wikipedia.org/wiki/Mir_Taqi_Mir,,,,,,,,,,,,,,,,,,,,,
Mirza Rafi Sauda,an important Urdu poet of the eighteenth century,http://en.wikipedia.org/wiki/Mirza_Rafi_Sauda,,,,,,,,,,,,,,,,,,,,,
Norbert Elias,German sociologist from the twentieth century,http://en.wikipedia.org/wiki/Norbert_Elias,,,,,,,,,,,,,,,,,,,,,
Nuruddin al-Shirazi,Persian physician from the seventeenth century who was patronized by the Mughal court,http://en.wikipedia.org/wiki/Qurayshi_al-Shirazi,,,,,,,,,,,,,,,,,,,,,
Shah Jahan,Mughal emperor from 1627 to 1658,http://en.wikipedia.org/wiki/Shahjahan,,,,,,,,,,,,,,,,,,,,,
Tipu Sultan,ruler of Mysore from 1782 to 1799,http://en.wikipedia.org/wiki/Tipu_Sultan,,,,,,,,,,,,,,,,,,,,,
Shuja-ud-Daulah,Nawab of Oudh from 1753 to 1775,http://en.wikipedia.org/wiki/Shuja-ud-Daula,,,,,,,,,,,,,,,,,,,,,
Aloys Sprenger,Austrian orientalist from the nineteenth century,http://en.wikipedia.org/wiki/Aloys_Sprenger,,,,,,,,,,,,,,,,,,,,,
