Edward Said,,,"An influential cultural critic, philosopher, and public intellectual, Said is most famous for his book ""Orientalism"" in 1978.",,
A.L. Basham,,,"A noted historian and indologist, and one of the major influences in the study of South Asia at Oxford University from the 1950s through the 1980s.",,
Abdul Hamid I,,,Sultan of the Ottoman Empire from 1774 to 1789.,http://en.wikipedia.org/wiki/Abdul_Hamid_I,
Abdul Hashim,,,(1905-1974) A Bengali Muslim politician.,http://en.wikipedia.org/wiki/Abul_Hashim,
Adam,,,The first man created by God in Biblical and Quranic traditions.,http://en.wikipedia.org/wiki/Adam,
Ahmed Ali,,,"(1910-1994)  Ahmed Ali was a famous Pakistani novelist, diplomat, and scholar. He was born in New Dehli, India and educated at the Aligarh and Lucknow universities and taught at many leading Indian universities. He is credited for having written one of the greatest novels about New Dehli.",,
Alexander von Humboldt,,,"(1769-1859) Alexander von Humboldt was a Prussian geographer, naturalist and explorer. Humboldt's quantitative work on botanical geography laid the foundation for the field of biogeography.",http://en.wikipedia.org/wiki/Alexander_von_Humboldt,http://upload.wikimedia.org/wikipedia/commons/f/f3/AvHumboldt.jpg
Ali Akbar,,,"(1922-2009) Ali Akbar Khan was a Hindutani Classical musician who was born in Comilla, East Bengal. He was especially famous for his skill in playing the sarod.  He established music schools in Calcutta, Switzerland, and California, helping to popularize Indian Classical music in the West.",,
Ali bin Abu Talib,,,"Nephew and son-in-law of the prophet Muhammad, he was the fourth caliph of Islam.",http://en.wikipedia.org/wiki/Ali_bin_Abi_Talib,
Ali Wardi Khan,Alivardi Khan,,Nawab of Bengal between 1740 and 1756.,http://en.wikipedia.org/wiki/Ali_Vardi_Khan,
Aloys Sprenger,,,19th century Austrian orientalist.,http://en.wikipedia.org/wiki/Aloys_Sprenger,
Amartya Sen,,,"Renowned economist and Nobel Laureate.  Sen is famous for his development of rational choice theory, and his contributions to Development Economics and Philosophy.  He teaches at Harvard University.",,
Amlan Datta,,,Leading economist and political philosopher from Kolkata.  Datta served as Vice Chancellor of Viswa Bharati University.,,
Antoine-Louis Henri de Polier,,,(1741-1795) French adventurer and soldier who made his career in 18th century India.,http://en.wikipedia.org/wiki/Antoine_Polier,
Arnold J. Toynbee,,,(1889-1970) Iconic British historian celebrated for his twelve volume work on the rise and fall of civilizations.,http://en.wikipedia.org/wiki/Arnold_J._Toynbee,
Auguste Comte,,,"A world renowned 19th century French philosopher.  His philosophy of Positivism, with its emphasis on science and progress towards greater social rationality, had a strong reception in Calcutta in the late 19th century.",,
Ayesha bint Abu Bakr,,,A wife of the prophet Muhammad and also daughter of the first caliph Abu Bakr.,http://en.wikipedia.org/wiki/Aisha_bint_Abu_Bakr,
Ayesha Jalal,,,Professor of History at Tufts University,http://ase.tufts.edu/history/faculty/jalal.asp,
B.C. Roy,,,Chief Minister of West Bengal from 1948 to 1962,http://en.wikipedia.org/wiki/Bidhan_Chandra_Roy,
B.R. Ambedkar,,,(1891-1956) Charismatic leader of the Dalits and an Indian politician who helped frame the constitution.,http://en.wikipedia.org/wiki/B._R._Ambedkar,
Babur,,,"Founder of the Mughal empire in India, which he ruled from 1526 to 1530.",http://en.wikipedia.org/wiki/Babur,
Bertrand Russell,,,"(1872-1970) British mathemtician, philosopher, and public intellectual.  Bertrand Russell was one of the most influential commentators on the challenges to democratic society from the 1920s through the 1950s.",http://en.wikipedia.org/wiki/Bertrand_Russell,
Beth Roy,,,Sociologist whose research focuses on religiously-based discord in South Asia,http://www.bethroy.org/Home_Page.html,
Bhupen Datta,,,"The younger brother of Vivekananda,  he was a Marxist intellectual, as well as a global traveler in the period of Indian anti-colonial struggle.",,
Brian Hatcher,,,Packard Chair of Theology at Tufts University,http://ase.tufts.edu/religion/faculty/hatcher.asp,
Burton Stein,,,(1926-1996) A historian of India,http://en.wikipedia.org/wiki/Burton_Stein,
Carl Schmitt,,,A 20th century German philosopher and political theorist,http://en.wikipedia.org/wiki/Carl_Schmitt,
Christopher Hill,,,An influential British Marxist historian who focused on early modern English history.  He was a major contributor to the History Workshop group.,http://en.wikipedia.org/wiki/Christopher_Hill_(historian),http://en.wikipedia.org/wiki/File:John_Edward_Christopher_Hill.jpg
Daniel Thorner,,,An American-born economist who made contributions to the study of the agricultural economy.  He is significant for bringing peasants into the study of South Asian history.,,
David Hume,,,(1711-1776) Scottish philosopher and economist associated with empiricism,http://en.wikipedia.org/wiki/David_Hume,
David Kopf,,,"An American scholar of South Asian history, Kopf made important contributions to the study of the intellectual history of Bengal in the 19th century.",http://en.wikipedia.org/wiki/David_Kopf,
Dipesh Chakrabarty,,,"Bengali historian who specializes in postcolonial theory and subaltern studies. He was educated at Presidency College and the Indian Institute for Management in Kolkata, before finishing his PhD at the Australian National University. He is currently a professor at the University of Chicago.",,
Edward Gibbon,,,"An 18th century English historian most famous for writing ""The History of the Decline and Fall of the Roman Empire.""",http://en.wikipedia.org/wiki/Edward_Gibbon,
Enseng Ho,,,Professor of Cultural Anthropology and History at Duke University,http://culturalanthropology.duke.edu/people?Gurl=%2Faas%2FCA&Uil=10480&subpage=profile,
Eric Hobsbawm,,,"A British Marxist historian who was born in Egypt and grew up in Vienna.  He has provided foundational perspectives on British history, European history, and nationalist movements.",,
Erik Erikson,,,(1902-1994) A developmental psychologist known for his theories of the life cycles and identity crisis.,http://en.wikipedia.org/wiki/Erik_Erikson,
Eve,,,The first woman created by God in Biblical and Quranic traditions,http://en.wikipedia.org/wiki/Eve,
Faiz Ahmad Faiz,,,A 20th century Urdu poet,http://en.wikipedia.org/wiki/Faiz_Ahmad_Faiz,
Farrukhsiyar,,,Mughal emperor from 1713 to 1719,http://en.wikipedia.org/wiki/Farrukhsiyar,
Fatima bint Mohammad,,,Daughter of the prophet Muhammad.,http://en.wikipedia.org/wiki/Fatima_bint_Muhammad,
Gayatri Spivak,,,"A scholar, literary critic, and translator important in the establishment of postcolonial studies in Western academia.",http://en.wikipedia.org/wiki/Gayatri_Spivak,
Ghulam Hussain Tabatabai,,,An 18th century Indian historian.,http://en.wikipedia.org/wiki/Ghulam_Husain_Tabatabai,
Gordon Childe,,,A philologist who later specialized in archaeology. He was famous for his Marxist study of archaeology. Childe was a major figure among academics of the British Left.,http://en.wikipedia.org/wiki/Gordon_Childe,
Gyanendra Pandey,,,Professor of History at Emory University,http://history.emory.edu/home/people/faculty/pandey.html,
Gyanesh Kudaisya,,,Associate professor of History at National University of Singapore,http://www.fas.nus.edu.sg/sas/people/gyanesh-kudaisya.html,
H.S. Suhrawardy,,,A Bengali-Pakistani politician,http://en.wikipedia.org/wiki/Huseyn_Shaheed_Suhrawardy,
Hassan bin Ali,,,"Grandson of the prophet Muhammad and son of Ali, the fourth Islamic caliph",http://en.wikipedia.org/wiki/Hasan_ibn_Ali,
Hem Chandra Raychaudhuri,,,"Indian historian of the acient period.  He taught at Presidency College, the University of Calcutta, and the University of Dacca.",,
Homi Bhabha,,,Homi Bhaba is a professor of the humanities at Harvard University.  He specializes in postcolonial studies.,http://www.fas.harvard.edu/~humcentr/about/homi.shtml,
Hussain bin Ali,Hussein ibn Ali,,"Grandson of the prophet Muhammad and son of Ali, he was killed by the Umayyads in Battle of Karbala.",http://en.wikipedia.org/wiki/Hussein_ibn_Ali,
Hyder Ali,,,Ruler of Mysore from 1761 to 1782,http://en.wikipedia.org/wiki/Hyder_Ali,
Ibn Battuta,,,"Moroccan explorer known for his extensive travels, accounts of which were published in the Rihla over a period of thirty years. Visited most of the known Islamic world as well as many non-Muslim lands. His journeys included trips to North Africa, the Horn of Africa, West Africa and Eastern Europe in the West, and to the Middle East, South Asia, Central Asia, Southeast Asia and China in the East.",http://en.wikipedia.org/wiki/Ibn_Battuta,http://www.aladinoaladino.com/ibn-battuta-il-viaggio_21_27
Immanuel Kant,,,(1724-1804) Philosopher of the German Englightenment.,http://en.wikipedia.org/wiki/Immanuel_Kant,
Indira Gandhi,,,"Prime Minister of the Republic of India for three consecutive terms from 1966 to 1977, and again from 1980 to 1984.  She was the daughter of Jawaharlal Nehru.",http://en.wikipedia.org/wiki/Indira_Gandhi,
Iqbal Ghani Khan,,,(1953-2003) Reader in History at the Aligarh Muslim University,http://www.hindu.com/fline/fl2007/stories/20030411004511400.htm,
Irene Joliot-Curie,,,(1897-1956)  A French Noble Prize winning chemist,http://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie,
Irfan Habib,,,"Eminent Indian Marxist historian, who has published on medieval and early modern India as well as Indo-Islamic society and civilization.",,
Ishtiaq Ahmed,,,Professor Emeritus of History at Stockholm University,http://en.wikipedia.org/wiki/Ishtiaq_Ahmed_(political_scientist),
Jadunath Sarkar,,,"Foundational figure in South Asian history writing, Sarkar pioneered the study of Mughal History.  He taught at the University of Calcutta, Dhaka University and Madras University.  He is considered one of the most influential early twentieth century Indian scholars.",,
Jagdish Bhagvati,,,A renowned economist and currently a professor as the School of International and Public Affairs at Columbia university.,,
Jahandar Shah,,,Mughal emperor who ruled from 1712 to 1713.,http://en.wikipedia.org/wiki/Jahandar_Shah,
James Mill,,,(1773-1836)  Scottish historian and Utilitarian philosopher,http://en.wikipedia.org/wiki/James_Mill,
John Richards,,,A historian of the Mughal Empire,http://sahsa.uchicago.edu/node/19,
Joya Chatterji,,,Professor of History at Cambridge University,http://www.cambridge-india.org/research/humanities/history.html,
Kanshi Ram,,,(1934-2006) Founder of the Bahujan Samajwadi Party,http://en.wikipedia.org/wiki/Kanshi_Ram,
Karl Deutsch,,,"A political scientist, born in Czechoslovakia and of German descent.  Deutsch made important contributions to communication theory, system theory and cybernetics.  He taught at Harvard University.",http://en.wikipedia.org/wiki/Karl_Deutsch,
Kazi Abdul Wadud,,,"Eminent Bengali writer, educationist and intellectual.  Wadud taught at Presidency College as well as Dhaka Intermediate College.  He completed a dictionary of Bangla words derived from Arabic, Persian, and Turkish in 1953.",,
Keith Thomas,,,"A scholar of cultural history in the 1970s and 1980s, hecombined interests in anthropology and literature, with his study of history.",,
Kenneth Pomeranz,,,Professor of History at the University of Chicago,http://history.uchicago.edu/directory/kenneth-pomeranz,
Khadija bint Khuwaylid,,,"The first wife of Muhammad, the prophet of Islam",http://en.wikipedia.org/wiki/Khadijah_bint_Khuwaylid,
