Social Book,Online Software Platform for Text Annotation,http://www.livemargin.com/,
Nota Bene,Online Software Platform for Text Annotation,http://www.notabene.com/,
Smartphysics,Online Software Platform for Interactive Science Education,https://www.smartphysics.com/Account/LogOn?ReturnUrl=%2f,
Stephanos,The system of reference and organization used in modern editions and translations of Plato,http://en.wikipedia.org/wiki/Stephanus_pagination,
Optical Character Recognition,"The mechanical or electronic conversion of scanned images of handwritten, typewritten or printed text into machine-encoded text.",http://en.wikipedia.org/wiki/Optical_character_recognition,
Project Guthenberg,Publisher of free ebooks,http://www.gutenberg.org/,Guthenberg
MIT,"A private research university in Cambridge, Massachusetts traditionally known for research and education in the physical sciences and engineering.",http://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology,
Republic,"A Socratic dialogue, written by Plato around 380 BC, concerning the definition of justice and the order and character of the just city-state and the just man.",http://en.wikipedia.org/wiki/The_Republic_(Plato),
Kindle,An electronic book reader,http://en.wikipedia.org/wiki/Amazon_Kindle,
ePUB,A free and open e-book standard by the International Digital Publishing Forum (IDPF).,http://en.wikipedia.org/wiki/EPUB,
STREAM,"A faculty-oriented community of practice dedicated to sharing technology for research, education and new media (STREAM) at Tufts University",http://sites.tufts.edu/stream/,
livemargin,The web portal for the Social Book text annotation platform,http://www.livemargin.com/socialbook/client/user_home.html,
necessary,A philosophical term defining to relationship between statements,http://en.wikipedia.org/wiki/Necessity_and_sufficiency,
contingent,"In philosophy and logic, contingency is the status of propositions that are neither true under every possible valuation (i.e. tautologies) nor false under every possible valuation.",http://en.wikipedia.org/wiki/Contingency_(philosophy),
iSis,The Tufts Student Information System,https://isis.uit.tufts.edu/,
Blackboard,A data management platform used at some large educational institutions,http://www.blackboard.com/,
Trunk,The data management platform based on Sakai used at Tufts University,https://trunk.tufts.edu/xsl-portal,
Application Programming Interface,Specifies how some software components should interact with each other.,http://en.wikipedia.org/wiki/Application_programming_interface,API
"Technology, Education, Design","A global set of conferences owned by the private non-profit Sapling Foundation, under the slogan ""ideas worth spreading"".",http://en.wikipedia.org/wiki/TED_(conference),TED
University of Illinois at Urbana Champaign,,http://illinois.edu/,Urbana Champagne
Physics Education Research,"Research into the learning, understanding and teaching of physics and the application of physics knowledge",http://en.wikipedia.org/wiki/Physics_education,physics-based education
discipline,"Is knowledge or a concentration in one academic field of study or profession, defined by the protocols, institutions and system of generating authoritative knowledge of a community of scholars",http://en.wikipedia.org/wiki/Discipline_(academia),
