Kris Manjapra,Professor at Tufts University,http://ase.tufts.edu/history/faculty/manjapra.asp,Kris,
Nancy Bauer,Professor at Tufts University; Academic Dean at Tufts University,http://ase.tufts.edu/philosophy/faculty/bauer.asp,Nancy,
Ioannis Evrigenis,Professor at Tufts University,http://ase.tufts.edu/polsci/faculty/evrigenis/,Yannis,
David Hammer,Professor at Tufts University,http://ase.tufts.edu/education/faculty/hammer.asp,David,
Roger Tobin,Professor at Tufts University,http://sites.tufts.edu/ests/about-2/staff/sheryl-barnes/,Roger,
Sheryl Barnes,Interim Director of Education and Scholarly Services at Tufts University,http://sites.tufts.edu/ests/about-2/staff/sheryl-barnes/,Sheryl,
Jonathan Garlick,Professor at Tufts University,http://sackler.tufts.edu/Faculty-and-Research/Faculty-Profiles/Jonathan-Garlick-Profile,Jonathan,
Donna Qualters,Director of the Center  for Education and Learning at Tufts University,http://provost.tufts.edu/celt/welcome-to-celt/celt-staff/,Donna,
Plato,A Philosopher in Classical Greece,http://en.wikipedia.org/wiki/Plato,,
Simone de Beauvoir,"A French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist.",http://en.wikipedia.org/wiki/Simone_de_Beauvoir,De Beauvoir,
G.W.F. Hegel,"A German philosopher, and a major figure in German Idealism.",http://en.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel,Hegel,
Laura Wood,Director of Tisch Library,,,
Greg Crane,Professor at Tufts University; Editor and Chief of the Perseus Project,http://www.perseus.tufts.edu/hopper/about/who/gregoryCrane?redirect=true,,
Phil Gay,Program Manager in the Department of Education at Tufts University,http://ase.tufts.edu/education/faculty/gay.asp,,
Gary Gladding,Professor at the University of Illinois,http://physics.illinois.edu/people/profile.asp?geg,,
Sam Thomas,Professor at Tufts University,http://chem.tufts.edu/faculty/thomas/,,
Pearl Robinson,Professor at Tufts University,http://ase.tufts.edu/polsci/faculty/robinson/,Pearl,
